gamma,layer_centrality,node_centrality,p,q,num_walks,walk_length,restart,jump,walk
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['single\tnot\tbut\tnot\tbut\tnot\tfor\tgst', 'single\tnot\tbut\tnot\tbut\tnot\tbut\tfor\tproof\tfor\tasking\tfor\tasking\tfor\tgst', 'single\tfor\tgst', 'single\tfor\tnot\tbut\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_pakistan\tM_un\tH_pakistan\tM_firstpost\tH_pakistan\tM_firstpost\tH_pakistan\tM_un\tH_pakistan\tM_firstpost\tnot\tbut\tH_pakistan', 'single\tfor\tgovt\tbut\tnot\tbut\tgovt\tnot\tbut\tproof\tasking\tnot\tbut\tH_pakistan\tM_un\tH_pakistan\tM_firstpost\tH_pakistan\tfor\tgovt\tfor\tproof\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['gst', 'gst', 'gst', 'gst', 'gst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['inquiry\tinternational\tnot\tbut\tH_modi\tH_pakistan\tM_un\tH_pakistan\tM_un\tH_pakistan\tM_firstpost\tH_pakistan\tM_un\tH_uriattack\tM_firstpost\tH_uriattack\tH_pakistan\tH_modi\tM_firstpost\tnot\tgovt\tbut\tproof\tfor\tasking\tfor\tproof\tasking\tfor\tgst', 'inquiry\tinternational\tnot\tbut\tfor\tgst', 'inquiry\tinternational\tnot\tfor\tasking\tfor\tasking\tM_un\tH_pakistan\tM_firstpost\tH_uriattack\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_uriattack\tfor\tproof\tfor\tgst', 'inquiry\tinternational\tnot\tbut\tnot\tbut\tproof\tfor\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tgovt\tfor\tgst', 'inquiry\tinternational\tfor\tbut\tnot\tbut\tnot\tgovt\tfor\tproof\tfor\tasking\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['but\tH_modi\tM_firstpost\tH_uriattack\tM_firstpost\tH_modi\tgovt\tnot\tbut\tnot\tbut\tgovt\tfor\tproof\tfor\tbut\tgovt\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tgovt\tM_firstpost\tH_pakistan\tfor\tgovt', 'but\tM_firstpost\tH_pakistan\tM_un\tH_pakistan\tfor\tproof\tfor\tproof\tasking\tfor\tproof\tfor\tproof\tfor\tproof\tfor\tnot\tbut\tnot\tfor\tbut\tproof\tfor\tproof\tfor\tgst', 'but\tH_pakistan\tM_firstpost\tH_pakistan\tfor\tproof\tfor\tasking\tfor\tgovt\tnot\tbut\tnot\tbut\tnot\tgovt\tnot\tbut\tnot\tfor\tproof\tfor\tnot\tbut\tfor\tgst', 'but\tproof\tfor\tasking\tfor\tproof\tfor\tproof\tfor\tbut\tgovt\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_uriattack\tM_firstpost\tH_trumpwon\tM_un\tH_pakistan\tM_un\tH_uriattack\tM_firstpost\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost', 'but\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_modi\tgovt\tfor\tnot\tgovt\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['the', 'the', 'the', 'the', 'the']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['proof\tfor\tnot\tgovt\tfor\tproof\tfor\tproof\tfor\tnot\tbut\tnot\tbut\tproof\tfor\tnot\tbut\tnot\tbut\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_uriattack\tM_firstpost\tH_pakistan\tM_firstpost\tH_uriattack\tM_un', 'proof\tfor\tproof\tfor\tnot\tbut\tnot\tbut\tfor\tproof\tfor\tasking\tnot\tbut\tnot\tbut\tfor\tnot\tbut\tproof\tsingle\tnot\tbut\tproof\tfor\tproof\tsingle\tnot\tbut\tnot\tbut', 'proof\tasking\tfor\tgst', 'proof\tasking\tfor\tproof\tfor\tproof\tfor\tproof\tfor\tproof\tasking\tnot\tbut\tnot\tbut\tH_pakistan\tM_un\tH_pakistan\tM_firstpost\tH_pakistan\tM_un\tH_pakistan\tH_uriattack\tM_firstpost\tH_pakistan\tM_un\tH_pakistan\tM_firstpost\tH_modi\tH_pakistan\tM_firstpost', 'proof\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['govt\tfor\tgst', 'govt\tfor\tasking\tfor\tnot\tbut\tnot\tbut\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_uriattack\tM_firstpost\tH_trumpwon\tM_un\tH_pakistan\tM_un\tH_pakistan\tM_un\tH_trumpwon\tM_firstpost\tH_uriattack\tfor\tproof\tasking\tnot', 'govt\tfor\tproof\tasking\tnot\tbut\tH_pakistan\tbut\tfor\tproof\tfor\tbut\tgovt\tfor\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tfor\tgst', 'govt\tbut\tproof\tfor\tbut\tH_pakistan\tM_firstpost\tH_pakistan\tH_modi\tgovt\tnot\tbut\tproof\tfor\tproof\tfor\tgst', 'govt\tnot\tfor\tproof\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['international\tnot\tbut\tfor\tbut\tnot\tbut\tnot\tbut\tgovt\tH_modi\tM_firstpost\tH_uriattack\tH_pakistan\tM_un\tH_pakistan\tH_uriattack\tfor\tproof\tfor\tbut\tnot\tbut\tgovt\tbut\tnot\tbut\tnot\tbut\tnot\tbut', 'international\tfor\tasking\tfor\tasking\tfor\tproof\tfor\tgst', 'international\tnot\tbut\tgovt\tfor\tthe', 'international\tfor\tgst', 'international\tnot\tbut\tnot\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['M_un\tasking\tfor\tproof\tfor\tnot\tbut\tfor\tbut\tH_pakistan\tM_un\tH_pakistan\tM_un\tH_pakistan\tH_modi\tM_firstpost\tH_pakistan\tM_firstpost\tH_uriattack\tM_un\tH_pakistan\tH_uriattack\tfor\tproof\tfor\tgovt\tnot\tgovt\tnot\tbut\tfor', 'M_un\tM_firstpost\tbut\tproof\tfor\tgst', 'M_un\tH_pakistan\tM_firstpost\tH_uriattack\tinquiry\tinternational\tnot\tgovt\tfor\tasking\tfor\tnot\tbut\tnot\tgovt\tH_modi\tM_firstpost\tH_uriattack\tfor\tproof\tfor\tproof\tfor\tproof\tfor\tgst', 'M_un\tH_pakistan\tH_uriattack\tH_pakistan\tM_firstpost\tH_trumpwon\tM_firstpost\tH_modi\tgovt\tfor\tproof\tfor\tgst', 'M_un\tH_pakistan\tM_firstpost\tH_pakistan\tbut\tnot\tbut\tM_firstpost\tH_pakistan\tM_firstpost\tH_modi\tM_firstpost\tH_trumpwon\tM_firstpost\tH_uriattack\tH_pakistan\tH_uriattack\tH_pakistan\tM_firstpost\tH_pakistan\tM_firstpost\tH_uriattack\tfor\tgst']"
0,"['4.95e-2', '9.28e-1', '2.29e-2']","['1.92e-6', '4.87e-9', '1.97e-6', '6.32e-7', '9.46e-6', '1.51e-2', '2.10e-6', '5.98e-3', '1.93e-4', '1.05e-5', '2.55e-4', '2.01e-2', '3.15e-5', '3.15e-3', '2.44e-2', '7.31e-4', '2.08e-3', '2.95e-4', '5.64e-8', '3.42e-8']",1.0,1.0,"(5,)",30,0.7,"{'K': 0.5049309665, 'H': 0.1285338593, 'M': 0.1619000657}","['M_firstpost\tH_modi\tM_firstpost\tH_modi\tfor\tasking\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tnot\tbut\tproof\tfor\tgst', 'M_firstpost\tbut\tnot\tbut\tgovt\tH_modi\tgovt\tnot\tbut\tH_pakistan\tM_un\tH_trumpwon\tM_firstpost\tH_pakistan\tM_firstpost\tH_pakistan\tM_un\tfor\tgst', 'M_firstpost\tH_uriattack\tfor\tgovt\tfor\tnot\tbut\tnot\tfor\tgst', 'M_firstpost\tnot\tfor\tgst', 'M_firstpost\tbut\tproof\tfor\tasking\tfor\tgst']"
